sg_gls_id,land_parcel_id,date_launch,date_close,date_award,land_parcel_name,region,zone,street,latitude,longitude,site_area_sqm,gpr,gfa_sqm,land_use_type,project_type,lease_term,num_bidders,successful_tenderer_name,successful_tender_price,successful_price_psm_gfa,joint_venture,proj_name_raw,proj_name_res,proj_name_non_res,in_db,project_name_indb,source,tender_details,tenderer_name_1st,tender_price_1st,price_psm_gfa_1st,tenderer_name_2nd,tender_price_2nd,price_psm_gfa_2nd,price_premium_total,price_premium_psm,proj_num_of_units,proj_max_floor,construction_cost_edgeprop,financing_cost_edgeprop,fees_and_taxes_edgeprop,other_cost_edgeprop,constr_cost_psf
1c713874856deb3b038ae1cdd214d86fe1a7f9ef4ce7b84f821433d9719ea620,9e8255889b4015e8d4b2c11e82cb882afcfd92df46aea153210730046ff0140d,18/4/2001,28/6/2001,5/7/2001,Woodlands S6b,north region,woodlands,Rosewood Drive/Woodlands Avenue 2,1.430284023,103.786026,25665.0,2.1,53895.0,residential,CO,99,2.0,Bishan Properties Pte. Ltd.,88938000.0,1650.2,0,casablanca,casablanca,,1.0,casablanca,hdb,1.0,Bishan Properties Pte. Ltd.,88938000.0,1650.2,Centrepoint Properties Ltd.,85838000.0,1592.7,3100000.0,57.5,478.0,17.0,,,,,
af8ae94f7453cb0108ef0407f6831c36ef318edb5b230e570c720677043e7038,a2cb4ec6983987e7991a57baa838e00dd04b68b8e9a42563b88120015ce100d8,18/4/2001,28/6/2001,5/7/2001,Bukit Batok S8,west region,bukit batok,Bukit Batok Central/Bukit Batok Central Link,1.349000692,103.748909,8706.0,3.5,30469.0,residential,CO,99,8.0,Sim Lian Land Pte. Ltd.,78399000.0,2573.1,0,the-jade,the-jade,,1.0,the-jade,hdb,1.0,Sim Lian Land Pte. Ltd.,78399000.0,2573.1,Bishan Properties Pte. Ltd.,66678000.0,2188.4,11721000.0,384.7,280.0,30.0,,,,,
be0aef9fec79c2d9a73257f48d7c13fbd4a2672aec14ed28d9c10dda5e3fdb8a,f2ec085c4e2418ec348d908979d5aece6a3b5434f7ffb5861a311bcf44df0b28,31/5/2001,25/7/2001,1/8/2001,Boon Lay Way / Corporation Road,west region,jurong west,Boon Lay Way/Corporation Road,1.342263103,103.7166367,17000.0,3.0,51000.0,residential,Residential (Non-Landed),99,3.0,Centrepoint Properties Ltd.,106000889.0,2078.5,0,lakeholmz,lakeholmz,,1.0,lakeholmz,ura,1.0,CENTREPOINT PROPERTIES Ltd.,106000889.0,2078.5,NTUC CHOICE HOMES COOP Ltd. | CHIP ENG LEONG ENTERPRISE Pte. Ltd.,85638388.0,1679.2,20362501.0,399.3,369.0,17.0,,,,,
df871b57c9d4212c330953d5eaa65f3d12c601374e899d174cc3fc700e0c361f,6a3ec59c3c3bcb30d8c397067b5b9e225b279da51b1075b0cc5a55e9c67ab7f1,22/8/2001,18/10/2001,23/10/2001,Pasir Ris E6,east region,pasir ris,Pasir Ris Drive 4,1.369302034,103.9596481,13982.0,2.5,34955.0,residential,EC,99,5.0,City Developments Ltd.,50800000.0,1453.3,0,the-esparis,the-esparis,,1.0,the-esparis,hdb,1.0,City Developments Ltd.,50800000.0,1453.3,Chappelis Pte. Ltd. | United Overseas Land Ltd. | Kwan Hwee Investment Pte. Ltd.,47428000.0,1356.8,3372000.0,96.5,274.0,10.0,,,,,
7d781cdb9fd59f419de803967a8606362722e92915e2c27f0538ad8983152c86,f65ea33c956035c1c0dbb828bffe160ea0f57fd1ef43440febfbcc56dd428017,4/9/2001,30/10/2001,1/11/2001,Gopeng Street,central region,downtown core,Gopeng Street,1.275082946,103.8445129,6567.0,8.4,55159.0,mixed,Residential with Commercial at 1st Sty,99,1.0,Kentish Court Pte. Ltd.,125280000.0,2271.3,0,icon,icon,icon,1.0,icon,ura,0.0,KENTISH COURT Pte. Ltd.,125280000.0,2271.3,,,,,,646.0,46.0,,,,,
16cec9892e2827c035c659ef6aa6473079e1336ad09c7a616795962e859e46af,517d7ceb1d8e89683af89efb65255d0554a634b2980d7cc3437c58c33ea26595,20/2/2002,2/4/2002,8/4/2002,Fullerton Road / Esplanade Drive,central region,singapore river,Fullerton Road/Esplanade Drive,1.287065425,103.8536907,1088.0,2.1,2250.0,commercial,Commercial,30,3.0,Vasilon Pte. Ltd.,9280000.0,4124.4,0,the-fullerton-waterboat-house,,the-fullerton-waterboat-house,0.0,,ura,1.0,VASILON Pte. Ltd.,9280000.0,4124.4,GUAN SENG KEE Pte. Ltd.,4300000.0,1911.1,4980000.0,2213.3,,,,,,,
058d723b72e60803ea1b9c799d7f0e530a83184b8f81ec8173a023ff67dbbdf9,776d6d275fe2d6eb1287759f903beb54d0d73af5c039956f60d90a75e818a97b,14/3/2002,8/5/2002,14/5/2002,Marina Boulevard,central region,downtown core,Marina Boulevard,1.281061048,103.8527571,9091.0,13.0,118182.0,mixed,White Site,99,2.0,Glengary Pte Ltd,288900000.0,2444.5,0,the-sail-at-marina-bay,,the-sail-at-marina-bay,0.0,,ura,1.0,Glengary Pte Ltd,288900000.0,2444.5,IRVINE INVESTMENTS PTE LTD,280000000.0,2369.2,8900000.0,75.3,,,,,,,
1b289a9300ad5d71bb4f331875c9b8f014602834dca11b2032943569ec5b2e03,14f3e4210469c964facbc58f56c638aa0a9faccae19cd7c825ae4310a7271eba,20/3/2002,16/4/2002,18/4/2002,Ang Mo Kio S2a,north-east region,ang mo kio,Ang Mo Kio Avenue 8/Avenue 5,1.37592864,103.8470612,20000.0,3.5,70000.0,residential,CO,99,8.0,NTUC Choice Homes Co-operative Ltd. | Chip Eng Leong Enterprise Pte. Ltd.,183988888.0,2628.4,1,grandeur-8,grandeur-8,,1.0,grandeur-8,hdb,1.0,NTUC Choice Homes Co-operative Ltd. | Chip Eng Leong Enterprise Pte. Ltd.,183988888.0,2628.4,City Developments Ltd.,172200000.0,2460.0,11788888.0,168.4,579.0,19.0,,,,,
bc2ca104dd2bc279d0088b4dc2d5d3df88b3aa03ef5ae091c41fcd20f816cc62,36ca334c906d780ed00e42bb034d1a6f75abc33ab620b1efbd03ff5f8ab4c04b,20/3/2002,23/4/2002,25/4/2002,Pasir Ris E4,east region,pasir ris,Pasir Ris Street 72,1.380202413,103.9353409,17229.0,2.8,48242.0,residential,EC,99,4.0,Tanglin View Pte. Ltd.,72080000.0,1494.1,0,whitewater,whitewater,,1.0,whitewater,hdb,1.0,Tanglin View Pte. Ltd.,72080000.0,1494.1,Chappelis Pte. Ltd. | Prodev Pte. Ltd.,68028000.0,1410.1,4052000.0,84.0,397.0,16.0,,,,,
616f3984cc2e85cf99f89a91d72ea43efc2404af1f24a6a1339a0d8173b17f8e,3b6c421dd8292dae2ada6e1370edd0d4dca3818ef84a04e07c3edd3a8ea02969,27/3/2002,23/5/2002,31/5/2002,Sinaran Drive,central region,novena,Sinaran Drive,1.320868167,103.844204,7823.0,4.2,32855.0,others,White Site,99,3.0,Glory Realty Co Pte. Ltd.,100800000.0,3068.0,0,square-2,,square-2,0.0,,ura,1.0,GLORY REALTY CO Pte. Ltd.,100800000.0,3068.0,UNITED OVERSEAS LAND Ltd.,96100000.0,2925.0,4700000.0,143.1,,,,,,,
