poi_name,poi_type,poi_subtype,poi_lat,poi_long,location_poi_dwid,town
45239 (bus stop),transportation,bus stop,1.38511352786154,103.742425589505,94cb77483a16985e2276d53b95b400e2,western water catchment
44461 (bus stop),transportation,bus stop,1.38257055587493,103.743004721901,d15c4d8eac8c098b88ed894425703d53,western water catchment
44451 (bus stop),transportation,bus stop,1.38077375265972,103.744243532899,4451cf32ca203454c8f6c1ffca7011c7,western water catchment
44459 (bus stop),transportation,bus stop,1.380287314,103.7445456,b49e4db79fbd9520d75df0dd14438920,western water catchment
44449 (bus stop),transportation,bus stop,1.378892322,103.747627,9b5574014e2ba97caa06e57843a9d726,western water catchment
44129 (bus stop),transportation,bus stop,1.37741713631232,103.750926972559,7027e65d4335d050b9f7009e93732b50,western water catchment
44121 (bus stop),transportation,bus stop,1.377698462,103.7509355,24631b6dfbc9eb4ac48efdd60697999b,western water catchment
31009 (bus stop),transportation,bus stop,1.3717508832008,103.684276321148,d45ad47e2e52a7ce06cc985e9d51e64d,western water catchment
31129 (bus stop),transportation,bus stop,1.370002488,103.6874421,a011e3c5b54c0a2f03c24a5ba3784177,western water catchment
31121 (bus stop),transportation,bus stop,1.37031248857787,103.688003876827,9f060aa1db9f0f379e6ccf5741fe9bc5,western water catchment
31131 (bus stop),transportation,bus stop,1.37204702244087,103.690131564034,189e2bfbf37f8e163ce965365ea10b41,western water catchment
31139 (bus stop),transportation,bus stop,1.37211281461135,103.690384122382,e47e6466d0607d8ad48b02e0e3798da0,western water catchment
31141 (bus stop),transportation,bus stop,1.374071322,103.6933505,5339087ec285945015b9d3aff34cd512,western water catchment
31149 (bus stop),transportation,bus stop,1.37394854690218,103.694008327041,87da7111a1f7ba10a153f48c8751d7cc,western water catchment
ajmal trading group pte. ltd.,market,,1.38399518679903,103.694489298309,0b6392b94b3b5f7be67d93dbafd7a1bd,western water catchment
shafen supermarket & trading (s) pte. ltd.,market,,1.38459258504679,103.694778772674,f5e08aff9a9dbd0f5d8e1d0cb84a67c0,western water catchment
31069 (bus stop),transportation,bus stop,1.37493138896631,103.695506110961,13ef9091d43f192c93e694fb902c67bd,western water catchment
31061 (bus stop),transportation,bus stop,1.37594722209831,103.695570278081,f75ff0799ea441be4883fc458b6be2ad,western water catchment
31151 (bus stop),transportation,bus stop,1.3736322736363,103.695967478562,5b36147aaec9ef5cde40ae55f4dccef7,western water catchment
31159 (bus stop),transportation,bus stop,1.37336600723348,103.696197269297,2ea8234a0d945f50f0b3e3109954d174,western water catchment
31071 (bus stop),transportation,bus stop,1.37853314207752,103.696260452298,85d31724145916be9d19e5b3386db1ed,western water catchment
31079 (bus stop),transportation,bus stop,1.37768611089005,103.696321944095,b96d0216e16d3dc52603845289bffe7a,western water catchment
31211 (bus stop),transportation,bus stop,1.38283900030641,103.696999701689,bb74ea35192bbcf261d79294fc1ee754,western water catchment
31089 (bus stop),transportation,bus stop,1.37992729418275,103.697115163017,f39418ccbd780aada74eb02c0dfdc9ad,western water catchment
31081 (bus stop),transportation,bus stop,1.38056264189377,103.69732526998,290dabbe6cdd388babd9b3a34cf883e1,western water catchment
32101 (bus stop),transportation,bus stop,1.38541382991579,103.697444699893,1ded052a65f5b87b21ba2dd03c49becc,western water catchment
32109 (bus stop),transportation,bus stop,1.38571767009693,103.697702700099,eb0c5117b034e854c0556f561630cbaf,western water catchment
